v(g),n,v,l,d,i,e,t,n1,n2,N1,N2,result
1,1,2,1,1,1,1,1,1,1,1,1,1
7,198,1134.12825,0.05,20.31,55.85,23029.1,1279.39,17,36,112,86,1
3,600,4348.756508,0.06,17.06,254.87,74202.67,4122.37,17,135,329,271,1
4,126,599.1158253,0.06,17.19,34.86,10297.3,572.07,11,16,76,50,1
2,111,582.519954,0.08,12.25,47.55,7135.87,396.44,14,24,69,42,1
1,16,50.71880002,0.36,2.8,18.11,142.01,7.89,4,5,9,7,1
3,37,167.3717924,0.15,6.87,24.34,1150.68,63.93,11,12,22,15,1
4,129,695.6089475,0.06,17.35,40.1,12067.3,670.41,19,23,87,42,1
1,9,27,0.5,2,13.5,54,3,4,4,5,4,1
49,1469,9673.309914,0.01,97,99.72,938311.06,52128.39,32,64,1081,388,1
8,284,1160.839447,0.02,40.95,28.35,47536.38,2640.91,7,10,167,117,1
9,277,1726.961052,0.03,32.64,52.53,55961.02,3108.95,26,47,161,118,1
17,322,2069.257251,0.03,33.41,61.94,69127.22,3840.4,27,59,176,146,1
6,171,927.8912731,0.04,25.33,36.63,23506.58,1305.92,19,24,107,64,1
35,526,3296.32972,0.02,42.56,77.45,140300.03,7794.45,21,56,299,227,1
8,145,673.3591475,0.05,20.53,32.8,13824.9,768.05,9,16,72,73,1
43,814,5811.594801,0.02,40.88,142.15,237606.8,13200.38,28,113,484,330,1
3,88,465.1153953,0.08,12.04,38.63,5599.99,311.11,14,25,45,43,1
5,698,4862.117431,0.03,33.11,146.86,160969.13,8942.73,22,103,388,310,1
16,218,1236.588725,0.03,34.52,35.83,42683.63,2371.31,22,29,127,91,1
3,157,927.3818235,0.08,13.09,70.84,12140.27,674.46,16,44,85,72,1
2,31,129.267675,0.19,5.2,24.86,672.19,37.34,8,10,18,13,1
6,116,594.99683,0.06,16.67,35.7,9916.61,550.92,14,21,66,50,1
1,9,27,0.5,2,13.5,54,3,4,4,5,4,1
3,31,118.0280026,0.11,9,13.11,1062.25,59.01,9,5,21,10,1
6,192,1072.3128,0.04,28.21,38.01,30254.54,1680.81,20,28,113,79,1
2,21,82.04470251,0.17,6,13.67,492.27,27.35,10,5,15,6,1
3,52,224.7402609,0.06,16.71,13.45,3756.37,208.69,13,7,34,18,1
2,51,233.8330875,0.17,6,38.97,1403,77.94,9,15,31,20,1
19,516,3223.930597,0.03,34.67,93,111762.93,6209.05,19,57,308,208,1
20,226,1300.604575,0.03,33.19,39.19,43166.62,2398.15,25,29,149,77,1
4,106,539.2710612,0.07,14.86,36.3,8012.03,445.11,13,21,58,48,1
2,71,355,0.15,6.46,54.98,2292.07,127.34,9,23,38,33,1
19,491,3179.585115,0.02,45.4,70.04,144343.07,8019.06,26,63,271,220,1
9,300,1862.83601,0.04,24.96,74.63,46500.6,2583.37,21,53,174,126,1
3,47,215.4932375,0.11,9,23.94,1939.44,107.75,12,12,29,18,1
1,15,51.89147428,0.34,2.92,17.79,151.35,8.41,5,6,8,7,1
1,15,51.89147428,0.34,2.92,17.79,151.35,8.41,5,6,8,7,1
27,445,2829.110642,0.02,41.45,68.26,117259.19,6514.4,25,57,256,189,1
1,15,51.89147428,0.34,2.92,17.79,151.35,8.41,5,6,8,7,1
1,14,46.50699333,0.33,3,15.5,139.52,7.75,5,5,8,6,1
2,17,62.90747521,0.24,4.08,15.41,256.87,14.27,7,6,10,7,1
16,644,4230.987012,0.03,34.25,123.53,144911.31,8050.63,19,76,370,274,1
15,273,1656.042349,0.06,18.04,91.8,29873.71,1659.65,16,51,158,115,1
1,15,51.89147428,0.34,2.92,17.79,151.35,8.41,5,6,8,7,1
4,40,183.3985,0.13,8,22.92,1467.19,81.51,12,12,24,16,1
9,135,1055.371882,0.07,14.88,47.63,10538.49,585.47,17,30,116,74,1
1,79,346.9930764,0.22,4.59,75.63,1592.09,88.45,4,17,40,39,1
5,62,267.9595419,0.05,21,12.76,5627.15,312.62,12,8,34,28,1
8,250,1372.963274,0.03,33.25,41.29,45651.03,2536.17,21,24,174,76,1
2,50,235.0219859,0.24,4.24,55.47,995.75,55.32,7,19,27,23,1
4,80,396.3357048,0.08,11.92,33.26,4723,262.39,13,18,47,33,1
30,402,2583.358431,0.02,46.42,55.65,119927.45,6662.64,34,52,260,142,1
1,107,508.7729627,0.08,12.06,42.19,6135.2,340.84,10,17,66,41,1
2,157,851.9235665,0.08,12.2,69.81,10396.13,577.56,11,32,86,71,1
1,45,171.3309715,0.07,14.4,11.9,2467.17,137.06,9,5,29,16,1
3,22,88,0.12,8.33,10.56,733.33,40.74,10,6,12,10,1
1,11,34.86917502,0.32,3.12,11.16,108.97,6.05,5,4,6,5,1
3,28,109.3929367,0.13,7.43,14.73,812.63,45.15,8,7,15,13,1
1,15,53.77443751,0.24,4.2,12.8,225.85,12.55,7,5,9,6,1
5,309,1705.258777,0.03,32.04,53.85,55302.55,3072.36,15,32,167,140,1
4,73,371.3847874,0.1,10.15,36.59,3769.56,209.42,14,20,44,29,1
12,288,1759.255044,0.03,34.94,50.35,61473.97,3415.22,25,44,165,123,1
1,18,72,0.3,3.3,21.82,237.6,13.2,6,10,7,11,1
11,277,1636.208695,0.04,28.25,57.92,46222.9,2567.94,20,40,164,113,1
14,277,1802.659115,0.04,26.16,68.92,47150.8,2619.49,27,64,153,124,1
6,176,942.9291528,0.03,30.23,31.19,28502.18,1583.45,19,22,106,70,1
1,10,30,0.5,2,15,60,3.33,4,4,6,4,1
1,10,30,0.5,2,15,60,3.33,4,4,6,4,1
1,10,30,0.5,2,15,60,3.33,4,4,6,4,1
1,10,30,0.5,2,15,60,3.33,4,4,6,4,1
1,10,30,0.5,2,15,60,3.33,4,4,6,4,1
3,21,82.04470251,0.13,8,10.26,656.36,36.46,10,5,13,8,1
2,30,120,0.11,9.17,13.09,1100,61.11,10,6,19,11,1
15,448,3020.17721,0.04,24.66,122.46,74486,4138.1,21,86,246,202,1
4,98,485.5112384,0.09,10.71,45.31,5201.91,288.99,10,21,53,45,1
1,8,24,0.4,2.5,9.6,60,3.33,5,3,5,3,1
2,59,236,0.13,7.8,30.26,1840.8,102.27,6,10,33,26,1
11,352,2317.9068,0.05,18.58,124.77,43059.58,2392.2,18,78,191,161,1
6,137,760.9786727,0.04,23.76,32.03,18080.85,1004.49,22,25,83,54,1
6,226,1268.924425,0.04,27.36,46.38,34716.98,1928.72,17,32,123,103,1
5,131,723.5866162,0.04,23.38,30.96,16913.84,939.66,22,24,80,51,1
7,195,1089.067688,0.05,20.64,52.77,22476.1,1248.67,19,29,132,63,1
4,107,576.9779642,0.05,20.5,28.15,11828.05,657.11,21,21,66,41,1
9,195,1094.86842,0.03,28.97,37.8,31713.43,1761.86,20,29,111,84,1
6,69,338.5754511,0.07,14.86,22.79,5030.26,279.46,16,14,43,26,1
2,75,339.2671467,0.07,15.27,22.21,5181.53,287.86,12,11,47,28,1
3,121,639.5336685,0.05,20.86,30.65,13343,741.28,17,22,67,54,1
5,100,545.9431619,0.05,21,26,11464.81,636.93,22,22,58,42,1
15,423,2658.725139,0.02,43.15,61.62,114716.17,6373.12,27,51,260,163,1
16,462,3042.252675,0.02,42,72.43,127774.61,7098.59,28,68,258,204,1
18,350,2083.968709,0.02,43.89,47.48,91475.26,5081.96,24,38,211,139,1
5,98,528.4471074,0.05,20,26.42,10568.94,587.16,21,21,58,40,1
23,323,2081.070749,0.03,36.58,56.89,76123.38,4229.08,30,57,184,139,1
12,160,813.9940546,0.04,28.44,28.62,23153.61,1286.31,16,18,96,64,1
3,87,438.8622884,0.09,10.86,40.42,4764.79,264.71,12,21,49,38,1
3,39,165.669173,0.09,11.69,14.17,1936.26,107.57,11,8,22,17,1
